event,file,ok_shape,clipped,n_samples,t_min_ns,t_max_ns,A_baseline_mV,A_rms_mV,A_peak_mV,A_peak_time_ns,A_trough_mV,A_trough_time_ns,A_area_mVns,A_snr,B_baseline_mV,B_rms_mV,B_peak_mV,B_peak_time_ns,B_trough_mV,B_trough_time_ns,B_area_mVns,B_snr,accepted,active_scope_channel,passive_scope_channel
1,20260827_55p59V_sipm2_ch2_10000_00001.csv,True,False,2032,-152.49999964,355.249986,-1.399044657107943,2.1209205592383538,5.9050728371079435,11.24999573,-3.614488462892057,-3.75000385,197.83195322439354,2.7842027422415674,-2.3954180516293277,2.216181405271209,167.3191393616293,259.99998869,-6.355196118370673,183.49999086,9901.06444957583,75.49884633255161,False,B,A
2,20260827_55p59V_sipm2_ch2_10000_00002.csv,True,False,2032,-153.19999964,354.549986,-1.7452752620689655,2.0698039346247707,6.097513922068966,134.54999222,-6.959202047931035,202.5499903,136.1896636413506,2.9459379316400653,-3.85150320841785,2.494631465094831,172.88137991841785,8.0499958,-4.914489911582149,218.79998984,8640.12683726675,69.30137069839529,True,B,A
3,20260827_55p59V_sipm2_ch2_10000_00003.csv,True,False,2032,-153.33333364,354.416652,-1.2080870029757087,1.8094473242834868,5.560325662975709,182.41665686,-3.8054461170242915,51.41666057,-78.04086734015655,3.0729414381695315,-2.2633186278340083,2.0940598024708166,155.437528217834,5.41666187,-2.6733197321659916,147.41665785,7213.147819176121,74.2278362988634,True,B,A
4,20260827_55p59V_sipm2_ch2_10000_00004.csv,True,False,2032,-153.45454564,354.29544,-2.3650562068421053,2.1449939272856877,6.7172948668421055,152.29544571,-2.6484769131578947,35.29544902,175.51312575254818,3.1316148644496566,-2.6124889548785433,2.4645302759252443,219.56312677487853,9.04544976,-5.999714645121458,224.29544368,10955.75798927743,89.08923900009677,True,B,A
5,20260827_55p59V_sipm2_ch2_10000_00005.csv,True,False,2032,-153.99999964,353.749986,-0.6787154403822938,1.6363891432287874,5.184743620382294,25.74999527,-4.334817679617706,60.74999429,-93.08434636540588,3.1684050470734535,-1.954826755171026,2.245808027874713,141.164955535171,0.49999599,-7.487840254828973,239.24998924,5899.569990965345,62.857089200433734,True,B,A
6,20260827_55p59V_sipm2_ch2_10000_00006.csv,True,False,2032,-153.99999964,353.749986,-2.613150422334004,3.0232601659495724,11.317627732334003,229.74998951,-2.400382697665996,94.74999332,639.0472016440706,3.7435176303390554,-3.7008155990945673,3.144036163141253,166.04087296909458,10.99999569,-5.065177520905432,235.99998933,8423.411038617687,52.81137504576306,True,B,A
7,20260827_55p59V_sipm2_ch2_10000_00007.csv,True,False,2032,-153.99999964,353.749986,-1.2775965702414487,1.7458517691956783,5.629835230241449,109.7499929,-7.473017599758552,199.74999035,-57.35059425972951,3.224692571028031,-3.8359460033802817,1.9384709187096745,172.88120357338028,5.24999585,-1.6235762466197183,-8.50000376,8892.240358683579,89.18431631074304,True,B,A
8,20260827_55p59V_sipm2_ch2_10000_00008.csv,True,False,2032,-153.99999964,353.749986,-1.035123049939638,1.7982228750416789,5.387361709939638,177.99999097,-3.978410070060362,14.74999559,-42.58807889245879,2.9959365909049347,-2.1410140091146883,2.4154885421545202,153.79270162911467,3.24999591,-6.624979110885311,255.99998876,7478.861426480237,63.66939811353345,True,B,A
9,20260827_55p59V_sipm2_ch2_10000_00009.csv,True,False,2032,-152.66666664,355.083319,-1.1357860994704687,2.138274369803367,54.623724029470466,96.08332632,-3.8777470205295312,-1.9166709,2488.0184613151164,25.545703956828326,-3.2412595122606924,2.435622696286444,159.0913876822607,8.5833288,-5.524733607739307,203.33332329,8248.367096842778,65.3185683992947,True,B,A
10,20260827_55p59V_sipm2_ch2_10000_00010.csv,True,False,2032,-153.19999964,354.549986,-1.1509557937728192,1.8777225611643453,1.919902563772819,0.04999602,-7.753447896227181,2.79999595,-3.0361801638333095,1.0224633838250943,-2.404073948235294,2.074179397713619,176.40135788823528,16.04999557,-6.884803541764707,217.54998987,9370.820056390223,85.04633595468339,True,B,A
