sipm,detector_channel,bias_V,label,analysis_dir,active_scope_channel,accepted_events,height_spacing_mV,height_spacing_unc_mV,selected_height_peak_mus_mV,use_for_height_vbr,note,peak_height_mean_mV,peak_height_median_mV,area_mean_mVns,area_median_mVns,area_std_mVns,over_range_candidates
sipm1,ch0,53.9,53.90 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_53p9V_sipm1_ch0_analysis_20260827/analysis_sipm1_ch0_53p9V,A,9983,31.601582299580087,4.438062193987832,144.552;171.715;207.755,True,,162.15565617949017,152.43200883299798,7460.442591422269,7135.4481240814,1727.729584521202,0.0
sipm1,ch0,54.9,54.90 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_54p9V_analysis_20260827/waveform_plots_54p9V_20260827/sipm1_ch0,A,9958,42.459830851711274,3.0080602142579362,144.297;180.839;225.321;271.677,True,,181.7678961206631,178.93700989223262,8847.151815688374,8698.356460230454,2595.48235780775,2.0
sipm1,ch0,55.59,55.59 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_55p59V_analysis_20260827/waveform_plots_all_20260827/sipm1_ch0,A,9949,54.450015282733105,0.33924304266524524,161.882;215.992;270.782,True,,195.16676350088989,172.29603101912778,9807.945725165384,8552.845205682974,3328.790136057861,
sipm1,ch0,55.65,55.65 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_55p65V_analysis_20260827/waveform_plots_55p65V_20260827/sipm1_ch0,A,9938,53.68552686673267,0.2235003862427476,162.785;216.247;270.156,True,,194.5823315201658,170.78794749280308,9777.302455074774,8541.990231174488,3238.076027011423,21.0
sipm1,ch0,56.4,56.40 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_56p4V_analysis_20260827/waveform_plots_56p4V_20260827/sipm1_ch0,A,9812,53.38866812463814,8.057427510265699,147.362;184.646;245.585;307.528,False,not used in Vbr fit: high-bias saturation/poor spacing stability,218.05709332018634,194.90149297000002,11191.737242922394,9882.65875135402,4354.374386395432,122.0
sipm1,ch0,56.86,56.86 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_56p86V_analysis_20260827/waveform_plots_56p86V_20260827/sipm1_ch0,A,9843,,,nan,False,not used in Vbr fit: p.e. spacing not resolved,260.78229120383503,217.87118947261663,14515.784839821143,11232.68458993618,9965.825576883182,56.0
sipm2,ch2,54.9,54.90 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_54p9V_analysis_20260827/waveform_plots_54p9V_20260827/sipm2_ch2,B,9947,29.150771415008307,3.359238634739512,141.847;167.639;200.149,True,,163.67499522546518,163.72675104767822,7914.434831190872,8024.152543924667,1837.8386645766282,0.0
sipm2,ch2,55.59,55.59 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_55p59V_analysis_20260827/waveform_plots_all_20260827/sipm2_ch2,B,9871,41.94829308804242,0.13907383359108394,170.025;212.112;253.921,True,,179.54646463874892,171.3612575429495,9100.102330883865,8515.696487858551,2558.94044150162,
sipm2,ch2,55.65,55.65 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_55p65V_analysis_20260827/waveform_plots_55p65V_20260827/sipm2_ch2,B,9864,37.326954140203924,4.639039917714325,142.767;170.833;212.297;254.748,True,,179.57723083377826,171.7066660417617,9082.58674962116,8513.997417954146,2568.000087855827,0.0
sipm2,ch2,56.4,56.40 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_56p4V_analysis_20260827/waveform_plots_56p4V_20260827/sipm2_ch2,B,9881,49.13279036923221,0.30938697387087183,150.964;199.787;249.229,True,,178.35078574826238,158.106112527666,9135.234216888019,8084.520698041476,3332.9390167593033,7.0
sipm2,ch2,56.86,56.86 V,/Users/tharinduhettiarachchi/Desktop/design/new415/brDownVstudy_56p86V_analysis_20260827/waveform_plots_56p86V_20260827/sipm2_ch2,B,9744,60.37422709600424,4.189718251363309,150.586;202.855;265.440;331.708,True,,231.6724040239371,200.3206038867142,13042.46446907986,10822.200737548505,7482.967798544241,5.0
