event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
0,event_000000.csv,0.0,39.98524,-28.0,0.0,-100.0,0.0,39.52387,-16.0,-39.52387,120.0,0.0,158.0955,-100.0,0.0,-96.0,15.87106,15.87107,-64.0,0.0,-100.0
1,event_000001.csv,0.0,39.98524,-92.0,-39.98524,0.0,0.0,39.52387,-84.0,-39.52387,-40.0,158.0955,0.0,-92.0,-158.0955,-100.0,0.0,0.0,-100.0,-15.87106,96.0
2,event_000002.csv,0.0,39.98524,-52.0,-39.98524,8.0,0.0,39.52387,-28.0,-39.52387,28.0,0.0,158.0955,-100.0,0.0,-88.0,-15.87106,15.87106,4.0,-15.87107,-4.0
3,event_000003.csv,0.0,39.98524,-100.0,-39.98524,0.0,0.0,39.52387,-96.0,-39.52387,-8.0,0.0,158.0955,-100.0,0.0,-92.0,31.74213,0.0,-92.0,-15.87107,-100.0
4,event_000004.csv,0.0,39.98524,-60.0,-39.98524,-36.0,0.0,39.52387,-64.0,-39.52387,40.0,0.0,158.0955,-84.0,0.0,-100.0,-15.87106,15.87106,-60.0,0.0,-100.0
5,event_000005.csv,0.0,39.98524,-44.0,-39.98524,100.0,0.0,39.52387,-100.0,0.0,-96.0,158.0955,0.0,-100.0,-158.0955,-96.0,-15.87106,0.0,-100.0,-15.87107,28.0
6,event_000006.csv,0.0,39.98524,-72.0,0.0,-100.0,0.0,39.52387,-68.0,-39.52387,112.0,0.0,158.0955,-92.0,0.0,-100.0,15.87106,15.87107,-84.0,0.0,-100.0
7,event_000007.csv,0.0,39.98524,-52.0,-39.98524,-96.0,0.0,39.52387,-100.0,-39.52387,-56.0,0.0,158.0955,-100.0,0.0,-96.0,-15.87106,15.87106,-92.0,0.0,-100.0
8,event_000008.csv,0.0,39.98524,-80.0,-39.98524,48.0,0.0,39.52387,-100.0,-39.52387,128.0,0.0,158.0955,-100.0,0.0,-88.0,-31.74213,15.87107,-76.0,0.0,-100.0
9,event_000009.csv,0.0,39.98524,-60.0,-39.98524,20.0,0.0,39.52387,-92.0,-39.52387,24.0,0.0,158.0955,-72.0,0.0,-100.0,31.74213,0.0,-100.0,0.0,-100.0
10,event_000010.csv,0.0,39.98524,-60.0,-39.98524,-48.0,0.0,39.52387,-32.0,-39.52387,72.0,79.04775,79.04775,-92.0,-79.04775,-100.0,-15.87106,15.87106,-100.0,0.0,-84.0
11,event_000011.csv,0.0,39.98524,-68.0,-39.98524,-32.0,0.0,39.52387,-92.0,0.0,-100.0,0.0,158.0955,-76.0,0.0,-100.0,-15.87106,0.0,-100.0,-15.87107,60.0
12,event_000012.csv,0.0,39.98524,-96.0,-39.98524,180.0,0.0,39.52387,-92.0,-39.52387,160.0,0.0,158.0955,-92.0,0.0,-100.0,31.74213,0.0,-100.0,-15.87107,-68.0
13,event_000013.csv,0.0,39.98524,-100.0,-39.98524,68.0,0.0,39.52387,-36.0,0.0,-100.0,158.0955,0.0,-100.0,-158.0955,-76.0,0.0,15.87106,108.0,0.0,-100.0
14,event_000014.csv,0.0,39.98524,-80.0,-39.98524,164.0,0.0,39.52387,-72.0,-39.52387,-64.0,158.0955,0.0,-100.0,-158.0955,-92.0,-31.74213,15.87107,-64.0,0.0,-100.0
15,event_000015.csv,0.0,39.98524,-84.0,0.0,-100.0,0.0,39.52387,-72.0,0.0,-100.0,0.0,158.0955,-100.0,0.0,-92.0,31.74213,15.871060000000003,-52.0,0.0,-100.0
