event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
0,event_000000.csv,0.0,3919.937,-4.0,-39.98524,-56.0,0.0,4006.213,-4.0,-39.52387,-80.0,79.04774,9920.95226,4.0,0.0,-100.0,0.0,444.5743,8.0,-63.48425,-12.0
1,event_000001.csv,0.0,39.98524,-92.0,-39.98524,-16.0,0.0,39.52387,156.0,-39.52387,-20.0,79.04774,6105.74526,8.0,0.0,-92.0,15.87106,206.38534,4.0,-15.87106,-32.0
2,event_000002.csv,0.0,39.98524,-52.0,-39.98524,-32.0,0.0,39.52387,68.0,-39.52387,-88.0,79.04774,9118.78726,16.0,-79.04774,192.0,31.74213,301.67327,12.0,-31.74213,-12.0
3,event_000003.csv,0.0,39.98524,-64.0,-39.98524,-20.0,0.0,0.0,-100.0,-39.52387,-88.0,277.43605,8365.21895,12.0,-198.38831000000002,-100.0,15.87106,301.67324,8.0,-31.74212,-16.0
4,event_000004.csv,0.0,159.9409,-16.0,0.0,-100.0,0.0,79.20153,-52.0,-39.52387,-96.0,79.04774,6977.7312600000005,8.0,0.0,-100.0,31.74213,238.18897,8.0,-31.74213,-16.0
5,event_000005.csv,0.0,39.98524,-76.0,-39.98524,-96.0,0.0,0.0,-100.0,-39.52387,56.0,79.04774,9920.95226,4.0,0.0,-100.0,15.87106,555.73324,16.0,-63.48425,-8.0
6,event_000006.csv,0.0,39.98524,-96.0,-39.98524,84.0,0.0,39.52387,-60.0,-39.52387,140.0,79.04774,6184.79326,8.0,0.0,-100.0,0.0,206.3853,4.0,-15.87106,-20.0
7,event_000007.csv,0.0,39.98524,-84.0,-39.98524,112.0,0.0,39.52387,-64.0,-39.52387,120.0,79.04774,8722.31826,12.0,0.0,-92.0,0.0,301.6732,8.0,-31.74213,-16.0
8,event_000008.csv,0.0,39.98524,-80.0,-39.98524,-76.0,0.0,39.52387,-92.0,-39.52387,-20.0,79.04774,8801.67326,8.0,0.0,-100.0,-31.74213,285.80213,4.0,-15.871060000000003,-20.0
9,event_000009.csv,0.0,199.9262,-4.0,0.0,-100.0,0.0,39.52387,32.0,-39.52387,24.0,79.04774,5709.27626,8.0,0.0,-100.0,0.0,190.5143,0.0,-15.87106,-20.0
10,event_000010.csv,0.0,39.98524,-44.0,-39.98524,-96.0,0.0,39.52387,-96.0,-39.52387,-16.0,79.04774,9920.95226,4.0,0.0,-88.0,-15.87106,365.15746,8.0,-31.742130000000003,-12.0
