event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
0,event_000000.csv,0.0,39.98524,-92.0,-39.98524,-16.0,0.0,39.52387,104.0,-39.52387,-92.0,118.8792,79.20150000000001,192.0,-39.67766999999999,-8.0,23.80659,23.806600000000003,0.0,-7.93553,-68.0
1,event_000001.csv,0.0,39.98524,-72.0,-39.98524,96.0,0.0,39.52387,-68.0,-39.52387,-72.0,118.8792,118.8792,20.0,-79.35533,44.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-36.0
2,event_000002.csv,0.0,39.98524,-100.0,-39.98524,68.0,0.0,39.52387,-64.0,-39.52387,-100.0,118.8792,79.20150000000001,8.0,-79.35533,36.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
3,event_000003.csv,0.0,79.97047,108.0,-39.98524,-76.0,0.0,39.52387,-60.0,-39.52387,-88.0,118.8792,79.20150000000001,-100.0,-39.67766999999999,-76.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
4,event_000004.csv,0.0,39.98524,-84.0,-39.98524,-56.0,0.0,39.52387,-60.0,-39.52387,-32.0,118.8792,79.20150000000001,-100.0,-39.67766999999999,-56.0,31.74213,15.871060000000003,0.0,-15.87107,-48.0
5,event_000005.csv,0.0,39.98524,-88.0,-39.98524,-44.0,0.0,39.52387,-72.0,-39.52387,-68.0,118.8792,118.8792,16.0,-39.67766999999999,-44.0,23.80659,23.806600000000003,0.0,-23.80659,20.0
6,event_000006.csv,0.0,39.98524,-100.0,-39.98524,36.0,0.0,39.52387,-48.0,-39.52387,100.0,118.8792,79.20150000000001,24.0,-39.67766999999999,-92.0,23.80659,23.806600000000003,0.0,-15.871058999999999,20.0
7,event_000007.csv,0.0,39.98524,-76.0,0.0,-100.0,0.0,39.52387,-12.0,-39.52387,-32.0,118.8792,79.20150000000001,-40.0,-39.67766999999999,-20.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
8,event_000008.csv,0.0,39.98524,-92.0,-39.98524,16.0,0.0,39.52387,-92.0,-39.52387,-56.0,118.8792,79.20150000000001,-40.0,-39.67766999999999,-24.0,23.80659,23.806600000000003,0.0,-15.871058999999999,88.0
9,event_000009.csv,0.0,39.98524,-88.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,-76.0,158.5568,39.5239,-28.0,-79.35527,-8.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
